state,pop,growth,pov,property,income,sales,tax
Wyoming,573720,-0.01,0.11,0.04,0,0.04,0.08
Vermont,623960,0,0.12,0.05,0.02,0.03,0.1
Alaska,738068,0,0.11,0.04,0,0.01,0.05
North Dakota,755238,0,0.11,0.02,0.01,0.05,0.08
South Dakota,877790,0.01,0.14,0.03,0,0.04,0.07
Delaware,971180,0.01,0.13,0.02,0.03,0.01,0.06
Rhode Island,1061712,0,0.15,0.05,0.02,0.03,0.1
Montana,1062330,0.01,0.15,0.04,0.03,0.01,0.08
Maine,1341582,0,0.14,0.05,0.03,0.04,0.12
New Hampshire,1350575,0.01,0.09,0.06,0,0.01,0.07
Hawaii,1426393,0,0.12,0.02,0.03,0.07,0.12
Idaho,1753860,0.02,0.15,0.02,0.02,0.03,0.07
West Virginia,1803077,-0.01,0.18,0.02,0.03,0.04,0.09
Nebraska,1932549,0.01,0.12,0.04,0.02,0.03,0.09
New Mexico,2090708,0,0.21,0.02,0.02,0.05,0.09
Kansas,2918515,0,0.14,0.03,0.02,0.04,0.09
Mississippi,2982785,0,0.22,0.03,0.02,0.05,0.1
Arkansas,3020327,0.01,0.19,0.02,0.02,0.05,0.09
Nevada,3056824,0.02,0.15,0.02,0,0.06,0.08
Utah,3159345,0.02,0.12,0.02,0.03,0.03,0.08
Iowa,3160553,0,0.12,0.03,0.03,0.03,0.09
Connecticut,3588683,0,0.11,0.04,0.03,0.03,0.1
Oklahoma,3940521,0,0.17,0.02,0.02,0.04,0.08
Oregon,4199563,0.01,0.16,0.03,0.04,0.01,0.08
Kentucky,4472265,0,0.19,0.02,0.03,0.04,0.09
Louisiana,4682509,0,0.2,0.02,0.01,0.05,0.08
Alabama,4888949,0,0.19,0.01,0.02,0.04,0.07
South Carolina,5088916,0.01,0.18,0.03,0.02,0.03,0.08
Minnesota,5628162,0.01,0.11,0.03,0.04,0.04,0.11
Colorado,5684203,0.01,0.12,0.03,0.02,0.03,0.08
Wisconsin,5818049,0,0.13,0.04,0.03,0.03,0.1
Maryland,6079602,0,0.1,0.03,0.04,0.03,0.1
Missouri,6135888,0,0.16,0.02,0.02,0.03,0.07
Indiana,6699629,0,0.15,0.02,0.02,0.04,0.08
Tennessee,6782564,0.01,0.18,0.02,0,0.04,0.06
Massachusetts,6895917,0.01,0.12,0.04,0.03,0.02,0.09
Arizona,7123898,0.02,0.18,0.03,0.01,0.04,0.08
Washington,7530552,0.02,0.13,0.03,0,0.05,0.08
Virginia,8525660,0.01,0.12,0.03,0.03,0.02,0.08
New Jersey,9032872,0,0.11,0.05,0.02,0.02,0.09
Michigan,9991177,0,0.16,0.03,0.02,0.03,0.08
North Carolina,10390149,0.01,0.17,0.02,0.03,0.03,0.08
Georgia,10545138,0.01,0.18,0.03,0.02,0.03,0.08
Ohio,11694664,0,0.16,0.03,0.03,0.04,0.1
Illinois,12768320,0,0.14,0.04,0.02,0.04,0.1
Pennsylvania,12823989,0,0.14,0.03,0.03,0.03,0.09
New York,19862512,0,0.16,0.05,0.05,0.04,0.14
Florida,21312211,0.02,0.17,0.03,0,0.04,0.07
Texas,28704330,0.01,0.17,0.04,0,0.04,0.08
California,²,0.01,0.16,0.03,0.04,0.03,0.1
